track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,cluster
Una Noche en Medellï¿½,Cris Mj,1,2022,1,21,5415.0,32,0.25562889313167975,46.0,16.0,53.0,1.0,2.0,0.21985815602836878,A#,Minor,0.8767123287671232,0.838709677419355,0.4698795180722892,0.10309278350515463,0.0,0.021276595744680854,0.12363996043521285,https://i.scdn.co/image/ab67616d0000b273be60f176970cdde893632dd8,0
Envolver,Anitta,1,2021,11,11,4673.0,2,0.20207733138245285,123.0,113.0,180.0,1.0,4.0,0.1914893617021276,E,Minor,0.7945205479452055,0.38709677419354843,0.710843373493976,0.15463917525773196,0.0,0.06382978723404256,0.12363996043521285,https://i.scdn.co/image/ab67616d0000b27332f29a61d5e3c3bb3c7ae510,1
Starlight,Dave,1,2022,3,3,1856.0,3,0.07762605065848827,29.0,40.0,31.0,1.0,1.0,0.4184397163120567,G,Major,0.9863013698630136,0.34408602150537637,0.27710843373493976,0.36082474226804123,0.0,0.07446808510638298,0.6181998021760642,https://i.scdn.co/image/ab67616d0000b27320ce6b27651688ee8969cb2e,3
Hati-Hati di Jalan,Tulus,1,2022,3,3,200.0,2,0.06709687506813654,12.0,4.0,0.0,0.0,0.0,0.049645390070921946,F#,Major,0.5616438356164384,0.7741935483870969,0.3614457831325302,0.7216494845360825,0.18457752255947588,0.09574468085106383,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273b55d26c578e30129b0a7e86e,2
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911.0,2,0.06925355772804744,45.0,0.0,99.0,1.0,1.0,0.4964539007092198,A,Minor,0.7534246575342465,0.5483870967741936,0.5180722891566265,0.041237113402061855,0.0,0.07446808510638298,0.12363996043521285,Not Found,0
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4,2954.0,2,0.1945493838277634,18.0,82.0,0.0,0.0,5.0,0.21276595744680848,A#,Major,0.7945205479452055,0.5591397849462366,0.674698795180723,0.041237113402061855,0.0,0.021276595744680854,0.5192878338278939,https://i.scdn.co/image/ab67616d0000b27387d3146807ad53b05a7daaac,3
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461.0,0,0.024635322883485567,7.0,11.0,13.0,0.0,0.0,0.04255319148936165,C#,Minor,0.49315068493150677,0.7096774193548389,0.7228915662650603,0.5773195876288659,0.0,0.08510638297872342,0.914935707220575,Not Found,3
Jordan,Ryan Castro,1,2021,4,30,2844.0,2,0.14228719513198157,29.0,2.0,35.0,1.0,0.0,0.8156028368794327,A#,Minor,0.7808219178082192,0.7204301075268819,0.6506024096385543,0.061855670103092786,0.0,0.07446808510638298,0.8407517309594473,https://i.scdn.co/image/ab67616d0000b27382102cabb8e9ae044fc3db62,3
Nail Tech,Jack Harlow,1,2022,2,18,2939.0,0,0.06346862888563812,42.0,0.0,24.0,0.0,0.0,0.6028368794326241,E,Minor,0.5753424657534247,0.07526881720430108,0.5301204819277109,0.0,0.0,0.09574468085106383,0.14836795252225543,https://i.scdn.co/image/ab67616d0000b273ddd85c9c585e663fc5431c2a,1
Chale,Eden Muï¿½ï,1,2022,2,18,695.0,11,0.10520062073831717,16.0,41.0,13.0,1.0,1.0,0.8794326241134752,G#,Major,0.43835616438356156,0.881720430107527,0.3614457831325302,0.41237113402061853,0.0,0.0425531914893617,0.024727992087042572,Not Found,0
